"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","6/3519","16/9436",0.375,1.00554134697357,0.0171072296513588,0.586655730105311,0.746090977936094,0.430023618406971,"127550/6489/6483/10317/6482/26301",6
"Organismal Systems","Digestive system","hsa04976","Bile secretion","33/3519","90/9436",0.366666666666667,0.983195983707493,-0.123523975721955,0.588685016526327,0.746090977936094,0.430023618406971,"6548/6513/5567/480/481/949/10257/115/343/113/8714/3949/109/64241/57835/8647/54658/2778/6523/111/57552/8671/9429/3781/10864/6580/358/107/5243/1576/1080/114/6256",33
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","75/3519","204/9436",0.367647058823529,0.98582484997409,-0.157842754403663,0.58913235721755,0.746090977936094,0.430023618406971,"864/3065/3725/3716/1647/965/1380/7188/10000/5599/355/953/960/595/894/29110/4193/4939/9612/8900/4792/7187/2923/4734/5336/6416/5606/5709/6774/9020/5718/5608/596/3383/898/5714/581/5610/10213/6772/5707/1869/11047/3454/956/5291/5290/3516/5602/4790/7097/6502/5295/51426/79685/8737/1871/3135/3117/3112/3108/5603/1026/6885/7128/23118/3569/1021/3551/4067/3456/3448/3442/3439/23586",75
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","19/3519","52/9436",0.365384615384615,0.979758235512711,-0.112871901336615,0.596718941951483,0.752950810389689,0.433977412328351,"480/481/10000/80201/3098/5331/5330/5579/3099/3938/23236/5332/6523/776/5291/6514/5290/5295/346562",19
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","20/3519","55/9436",0.363636363636364,0.975070397065282,-0.142988772898466,0.607000179674802,0.763148776620132,0.4398552026629,"2188/675/22909/55215/641/7156/672/146956/83990/2067/51455/8940/4292/545/353497/51426/2178/5429/5980/2176",20
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","28/3519","78/9436",0.358974358974359,0.962569494538804,-0.255983088014417,0.642329195266412,0.804650652553953,0.463775592250117,"3725/2773/3586/722/3688/5599/715/3678/2353/3684/3394/4843/718/3553/5594/387/3576/6372/5602/4790/3659/3593/717/5603/3569/10392/2770/23643",28
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","20/3519","56/9436",0.357142857142857,0.957658425689116,-0.245069574601819,0.64547365341568,0.805681142932521,0.464369534831424,"9554/1379/7100/664/4792/3684/718/58484/3553/23786/3576/2919/4790/7097/3593/57396/3304/10767/3569/3297",20
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","11/3519","31/9436",0.354838709677419,0.951479984233057,-0.20866623560355,0.648100521103252,0.806060504741321,0.46458818717079,"196294/23478/90701/29927/58477/7095/60559/11231/51608/83943/3309",11
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","6/3519","17/9436",0.352941176470588,0.946391855975127,-0.170601417364401,0.655981115081765,0.810941933589954,0.467401690829945,"2328/84890/51380/2571/2678/339896",6
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","42/3519","117/9436",0.358974358974359,0.962569494538804,-0.314169317011074,0.656699375616073,0.810941933589954,0.467401690829945,"9563/5226/2271/5214/80201/3098/5223/387712/26007/5091/10873/38/6472/2098/8803/5095/3419/84706/4200/4190/84693/3099/54363/84532/55902/7086/8801/5096/8310/6389/64902/4199/221823/2645/4967/5723/4191/1738/137362/2731/48/2539",42
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","8/3519","23/9436",0.347826086956522,0.932676031975487,-0.249286864280267,0.673270084595705,0.828456451612446,0.477496513897663,"480/481/4190/2744/5105/10991/8671/358",8
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","9/3519","26/9436",0.346153846153846,0.92819201259099,-0.28274466429384,0.681195676328317,0.830860284901023,0.478882008588486,"2494/3087/5080/6928/6514/222546/2645/5078/3174",9
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","15/3519","43/9436",0.348837209302326,0.9353872995103,-0.327476213710477,0.682406862238592,0.830860284901023,0.478882008588486,"34/51703/38/217/10449/3032/33/2181/1962/8310/130/3033/2180/23305/2182",15
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","15/3519","43/9436",0.348837209302326,0.9353872995103,-0.327476213710477,0.682406862238592,0.830860284901023,0.478882008588486,"5320/26279/8613/84647/8513/38/949/8612/376497/338/64241/4547/948/8694/19",15
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","4/3519","12/9436",0.333333333333333,0.893814530643175,-0.28383626046541,0.712725013910617,0.862087452801539,0.496880376254489,"84274/79001/2677/27235",4
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","14/3519","41/9436",0.341463414634146,0.915614885049106,-0.417579513042685,0.715450986805643,0.862087452801539,0.496880376254489,"1141/2893/246213/2567/1139/2903/773/200959/2555/2557/2560/2890/2568/2570",14
"Organismal Systems","Sensory system","hsa04742","Taste transduction","30/3519","86/9436",0.348837209302326,0.9353872995103,-0.464185012542968,0.715507741806465,0.862087452801539,0.496880376254489,"80835/5567/29850/5331/775/6337/5153/5330/10021/6338/40/773/6328/6326/6335/5136/23236/5332/5028/2555/2557/50834/3351/5137/346562/259286/338398/259287/114/9568",30
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","15/3519","44/9436",0.340909090909091,0.914128497248702,-0.440277164091374,0.721450312843284,0.863252615712482,0.49755193989192,"2959/6884/2965/2963/387332/4331/8148/6874/1022/902/9519/404672/2969/2961/138474",15
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","15/3519","44/9436",0.340909090909091,0.914128497248702,-0.440277164091374,0.721450312843284,0.863252615712482,0.49755193989192,"356/5551/355/3458/3553/2571/940/3558/1363/3593/3135/3117/3112/3108/3382",15
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","12/3519","36/9436",0.333333333333333,0.893814530643175,-0.492246022571163,0.743992607579562,0.884425444125329,0.509755299207683,"1763/57804/10714/5985/3978/5424/246243/56655/4174/4172/5558/5982",12
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","54/3519","154/9436",0.350649350649351,0.94024645431295,-0.576544800929921,0.744242736843217,0.884425444125329,0.509755299207683,"65220/9249/249/1503/205/26289/23057/586/6472/217/84274/4522/10243/145226/122481/4351/60490/124454/79001/53630/587/129607/23498/10797/2677/250/54658/80025/2937/8566/5372/211/200895/1371/349565/7358/441024/27235/4338/102157402/27430/4337/2729/221264/25902/1738/27010/169355/195814/50808/55312/203/158067/56474",54
"Human Diseases","Immune disease","hsa05330","Allograft rejection","13/3519","39/9436",0.333333333333333,0.893814530643175,-0.512427681179345,0.748516685170214,0.88646856571353,0.51093289090117,"356/3586/5551/355/3458/940/3558/3567/3593/3135/3117/3112/3108",13
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","72/3519","205/9436",0.351219512195122,0.941775310336224,-0.649964352843169,0.764250596957374,0.902023663755812,0.519898365277125,"5590/2475/4725/6513/7388/4720/4688/7042/142/183/6262/10000/5599/7417/10105/107984365/5331/4728/2998/6667/517/56901/55967/488/9882/7043/5330/4088/4706/5579/4313/489/1277/5578/4729/4087/2673/1281/4705/23236/5332/4318/539/4689/5880/7048/5580/2932/4710/5291/185/5290/170712/5602/4790/817/6389/4724/5295/1350/7416/9945/5603/5350/51660/816/948/1278/4846/7419/5524/2539",72
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","110/3519","311/9436",0.353697749196141,0.94842056306189,-0.713296603212441,0.779639786486497,0.917067816646828,0.528569346770506,"2475/3065/4725/7388/2882/4720/127602/3799/5599/7019/7417/10105/10121/161/5682/627/6506/90993/55626/9776/107984365/5331/4728/2893/10376/7846/84790/60673/6667/517/56901/55967/196385/5687/22863/387332/83544/55102/3831/5330/1387/4706/163/5709/9001/8678/1213/2081/5718/55062/64446/8632/4729/5289/84699/5714/581/1639/1768/3800/10213/56171/1385/5707/4705/23236/5332/7052/6874/11047/539/8218/10126/2033/3708/5468/2876/25981/201625/55081/4710/3064/10891/170712/5431/5602/6389/1767/6507/4724/1350/7416/51164/2878/2890/203068/1769/9519/4217/6648/26100/8701/9586/4899/64764/7419/9821/27019/1211/2776",110
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","46/3519","134/9436",0.343283582089552,0.920495561408643,-0.714801422068516,0.788727956158164,0.924623651307037,0.532924294701462,"10451/51744/356/5551/355/3265/5058/22914/3845/3458/399694/5604/5579/27040/5336/3384/5578/7409/3383/6654/7535/4773/3454/3460/5594/5880/5894/5291/5290/5530/5295/1437/3135/4277/2534/3459/5533/8795/2185/3456/3448/3442/3439/53358/7410/4068",46
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","54/3519","157/9436",0.343949044585987,0.922279961555378,-0.757289694175964,0.799103290831955,0.933632464372688,0.538116694162932,"998/4725/7388/3725/3953/3570/4720/356/51094/10000/5599/355/1571/10062/107984365/4728/79602/7132/56901/55967/1965/2353/4706/6720/2081/4729/1050/581/3553/53632/4705/83737/468/5468/2932/4710/5291/5290/170712/3576/5602/4790/6389/4724/5295/1350/5603/4217/3569/51085/3952/51422/3551/6256",54
"Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","7/3519","23/9436",0.304347826086957,0.816091527978551,-0.680975403709262,0.81391588485683,0.947747691427249,0.546252271715993,"6487/148789/29954/146664/9215/135152/729920",7
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","14/3519","44/9436",0.318181818181818,0.853186597432122,-0.752736198414946,0.817646840043083,0.948907871220568,0.54692096323952,"142/8505/57804/10714/6996/5985/7515/3978/5424/56655/55247/5982/252969/54840",14
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","16/3519","50/9436",0.32,0.858061949417448,-0.77602080443919,0.821381333069835,0.95006440858411,0.54758755537989,"3586/6387/57379/9020/7852/3676/940/10803/3558/3600/56477/3567/3117/3112/3108/3569",16
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","19/3519","59/9436",0.322033898305085,0.863515732994254,-0.81097308441282,0.827613464668114,0.95409259880344,0.549909278849245,"5226/2882/9446/6240/4257/290/2879/6241/10314/2937/2678/2876/51056/2878/2939/2729/79017/50484/2539",19
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","82/3519","238/9436",0.34453781512605,0.923858716547147,-0.91746978390052,0.837753509871014,0.958362985063441,0.552370596578352,"6135/731/732/3725/3716/6232/3570/103/2212/8829/5599/6229/4312/4314/7450/7132/715/29110/6128/4939/4792/6235/6166/2353/7187/5579/5336/6347/6143/6774/6155/5578/6169/718/388524/6217/5610/6233/3553/64135/6772/3454/4600/5594/6159/5291/185/200916/5290/5648/3576/5602/4790/3558/7097/2244/6167/730/729/3572/5295/6228/1437/6208/3593/2162/717/629/100529239/5603/6885/23118/4142/3569/1956/3551/3456/3448/3442/3439/23586/6191",82
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","137/3519","391/9436",0.350383631713555,0.939533943975307,-0.941728114805213,0.840172050965514,0.958362985063441,0.552370596578352,"2475/4725/7388/1435/7482/4720/22926/5743/779/824/5664/7483/89780/10000/3799/5599/22943/90550/7417/10105/355/3416/3265/283106/5682/55626/9776/91252/107984365/5331/4728/50507/81029/775/7132/4040/3845/3709/7480/10376/7846/84790/4891/60673/517/56901/55967/488/4842/5687/22863/1965/55334/55102/3831/1139/6263/1133/5330/83464/5604/2903/4706/489/1856/4843/5709/8678/2535/7473/7484/2081/8313/5718/55062/201266/4729/5289/5714/5610/57142/3553/3800/10213/57181/8324/5707/4705/1457/23236/5332/11047/351/539/25825/5594/1454/102800317/468/3708/5894/1499/776/7474/2932/4710/5291/4311/5290/170712/5602/6622/5530/64116/4790/27123/6389/4724/5295/1350/7416/1452/203068/4217/26100/3569/8326/8321/7472/51384/5533/3551/7419/9821/2776/3028/27035",137
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","11/3519","36/9436",0.305555555555556,0.819329986422911,-0.837535456780314,0.843925255136909,0.958362985063441,0.552370596578352,"1638/218/314/316/1312/3081/130/1644/137362/7306/4128",11
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","10/3519","33/9436",0.303030303030303,0.812558664221068,-0.831800014239226,0.844403701769182,0.958362985063441,0.552370596578352,"586/3419/84706/587/64902/594/4967/1738/137362/48",10
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","27/3519","83/9436",0.325301204819277,0.872276831109605,-0.901286913319953,0.845127012764879,0.958362985063441,0.552370596578352,"103/3428/9447/11128/29110/51082/11035/4792/4210/29800/197259/3553/10621/81030/4790/653082/10622/8737/3569/1687/3551/90865/3456/3448/3442/3439/23586",27
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","17/3519","54/9436",0.314814814814815,0.844158167829665,-0.88565180489281,0.847950853926244,0.958433049877547,0.552410979756511,"356/3586/5551/355/940/1493/3558/3567/3135/3117/3112/3108/1081/7038/3448/3442/3439",17
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","20/3519","63/9436",0.317460317460317,0.851251933945881,-0.913507453507664,0.852110644156062,0.960007771175823,0.553318600101339,"3290/1571/51144/1588/1544/3294/6820/6716/54658/1312/79644/6715/7923/1577/100861540/1551/1576/6718/3293/412",20
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","5/3519","18/9436",0.277777777777778,0.744845442202646,-0.835583856903294,0.860845790770533,0.966710321674353,0.557181741599051,"4759/2720/23324/4126/175",5
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","12/3519","40/9436",0.3,0.804433077578858,-0.955836683611364,0.86953169338524,0.973314508402188,0.5609881892808,"80201/3098/2998/5836/2595/2548/3099/2992/57733/5169/2645/8908",12
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","21/3519","68/9436",0.308823529411765,0.828092873978236,-1.0971214247507,0.890532272568235,0.993616394151696,0.572689564352563,"9249/1592/145226/8854/1544/53630/1548/1555/29785/56603/316/54658/130/1577/100861540/1551/1576/195814/157506/8694/8228",21
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","79/3519","235/9436",0.336170212765957,0.901421462818862,-1.18012656380605,0.894700244914352,0.995067259568205,0.57352579802202,"63976/2475/23028/6195/8289/4725/353500/7388/65260/5567/4720/55811/5592/51703/3265/90993/107984365/4728/51287/3845/84987/517/56901/10818/55967/51241/8110/115/4706/113/5606/57521/4729/9658/84699/51548/6597/109/6654/1385/53632/2181/4705/2778/539/5468/6599/4710/111/11343/86/10891/170712/5593/2180/6389/4724/1350/23305/51780/5603/124901481/4217/57492/6196/60/9586/55744/107/64764/6604/51422/2260/137682/114/6595/7248/6197/2182",79
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","127/3519","371/9436",0.342318059299191,0.917906566509568,-1.24405984287431,0.90355892882705,1,0.576368876080692,"23435/2475/4725/7388/2882/55706/4720/22926/127602/3799/90550/311/10718/10121/5682/6506/55626/9776/23279/107984365/4728/7132/10376/7846/84790/60673/517/56901/29110/55967/6311/643246/4842/196385/144983/283/5687/22863/1965/83544/55102/3831/145957/2903/4706/9688/140775/5606/4843/5709/9001/8678/2081/5718/55062/5608/64446/8632/10189/4729/5289/596/4218/5714/581/23636/375189/6432/1639/1768/3800/10010/10213/129401/56171/2066/5707/4705/598/84557/8480/9217/11047/539/10126/468/23225/2876/25981/201625/4710/170712/5530/6389/1767/4724/55255/1350/7416/9782/9542/51164/2878/2890/8878/94026/203068/5603/6428/1769/9896/4217/5071/26100/60/8701/9883/23165/5533/4747/3084/9821/27019/3309/8021/23064/116442",127
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","19/3519","63/9436",0.301587301587302,0.808689337248587,-1.17489740199595,0.905774128195366,1,0.576368876080692,"2074/2965/57804/10714/5985/2073/4331/2067/3978/5424/56655/9978/7508/5431/1022/902/404672/5982/7507",19
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","74/3519","227/9436",0.325991189427313,0.874126985915352,-1.48036607794262,0.940481408712721,1,0.576368876080692,"4725/7388/3725/4720/27/4688/115019/10000/5599/7417/10105/57412/9446/1571/3265/5795/107984365/4728/50507/4257/3845/517/56901/55967/5587/4792/2353/5604/1544/4706/6416/9020/4025/4729/9817/25865/23683/6654/4780/4705/5770/539/5594/3162/5894/5580/4710/5291/5337/5290/10861/170712/5602/4790/1950/6389/4724/5295/1350/7416/5603/2939/2309/4217/6648/196/1956/4233/2053/3551/7419/5747/25/27035",74
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","22/3519","75/9436",0.293333333333333,0.786556786965994,-1.43113848304441,0.941630396483174,1,0.576368876080692,"1491/4548/5214/5223/387712/5091/586/6472/5053/384/3419/84706/5831/587/7086/27430/383/221823/5723/137362/48/5009",22
"Human Diseases","Immune disease","hsa05310","Asthma","8/3519","32/9436",0.25,0.670360897982381,-1.44041356399363,0.951483936682455,1,0.576368876080692,"3586/5553/6356/3567/3578/3117/3112/3108",8
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","12/3519","45/9436",0.266666666666667,0.71505162451454,-1.47756407412229,0.951664523681691,1,0.576368876080692,"356/5551/355/3458/3553/940/3558/3135/3117/3112/3108/3569",12
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","5/3519","22/9436",0.227272727272727,0.609418998165801,-1.41437691559822,0.953804413898497,1,0.576368876080692,"217/218/55748/3176/4128",5
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","9/3519","36/9436",0.25,0.670360897982381,-1.52811432519862,0.959045729871744,1,0.576368876080692,"55277/51084/54658/9942/7358/729920/231/57016/441282",9
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","105/3519","320/9436",0.328125,0.879848678601876,-1.6862858018984,0.960444240224643,1,0.576368876080692,"407040/2475/3925/3065/4853/63923/7143/5743/7042/89780/6935/5328/27250/3265/619552/960/113130/595/442900/472/5962/406882/6768/894/3845/3678/8091/4193/6541/10253/693210/23405/7057/399694/7168/5604/1387/4363/5579/5336/1398/6774/672/7473/3690/10642/5578/57521/406906/596/1786/4854/898/1788/6654/5581/9839/2744/659/9759/100302282/1869/4318/1591/5594/7078/3162/5155/2033/5894/387/11186/27086/5291/5290/407020/8626/5156/4790/5295/1946/995/406937/5159/1871/7148/1026/5292/4082/6624/1956/5243/1021/4233/406917/2146/3551/23414/407035/8434/3371/406956/25/4851/407007",105
"Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","7/3519","30/9436",0.233333333333333,0.625670171450223,-1.58358863590949,0.965881197970459,1,0.576368876080692,"55650/23556/80055/128869/54965/2822/84302",7
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","9/3519","37/9436",0.243243243243243,0.652243035874749,-1.63442754980311,0.967933568526509,1,0.576368876080692,"80150/84706/2673/2571/2744/56954/64902/9945/137362",9
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","8/3519","34/9436",0.235294117647059,0.630927903983418,-1.66253327913503,0.970801317621741,1,0.576368876080692,"11128/51082/25885/10621/5431/10622/27297/64425",8
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","4/3519","20/9436",0.2,0.536288718385905,-1.60088168437103,0.971856635263907,1,0.576368876080692,"594/4967/1738/2731",4
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","18/3519","67/9436",0.26865671641791,0.720387830667634,-1.77123690241603,0.973479464949919,1,0.576368876080692,"5214/80201/3098/5223/387712/160287/3945/217/218/26330/3099/84532/55902/5105/130/2645/1738/669",18
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","7/3519","31/9436",0.225806451612903,0.605487262693764,-1.696650062662,0.973992964512426,1,0.576368876080692,"9563/5226/5214/51071/7086/221823/2539",7
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","3/3519","17/9436",0.176470588235294,0.473195927987563,-1.67649007428721,0.978866250405607,1,0.576368876080692,"765/771/768",3
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","22/3519","81/9436",0.271604938271605,0.728293321264809,-1.89387245831027,0.97969742065048,1,0.576368876080692,"978/1806/7371/9446/1571/6240/4257/7084/1548/6241/7498/151531/54658/51733/7172/2939/7378/1576/9/10/50484/1807",22
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","17/3519","66/9436",0.257575757575758,0.690674864587908,-1.94467568941108,0.983010553019975,1,0.576368876080692,"8565/6301/10352/833/4141/7453/123283/124454/92935/23395/5188/6897/51520/10667/7407/57038/3376",17
"Organismal Systems","Sensory system","hsa04744","Phototransduction","6/3519","29/9436",0.206896551724138,0.554781432813005,-1.85172502402583,0.983256495686085,1,0.576368876080692,"9187/1258/3000/5957/8787/5145",6
"Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","3/3519","18/9436",0.166666666666667,0.446907265321588,-1.81127613183703,0.985279827144165,1,0.576368876080692,"25974/4548/7702",3
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","86/3519","278/9436",0.309352517985612,0.829511326999781,-2.22508911828713,0.989642633908,1,0.576368876080692,"4725/7388/731/732/5567/4720/3915/4688/779/6262/3799/5599/90550/7417/10105/283106/5682/90993/107984365/4728/4684/775/3709/10376/7846/84790/517/56901/55967/5687/1965/3831/6263/2903/4706/5709/5718/4729/84699/5714/581/3553/3800/10213/1385/5707/4705/1457/5621/11047/4685/539/5594/4689/5880/468/3708/859/5580/776/2932/4710/5291/5290/170712/5602/5530/6389/730/729/4724/5295/1350/7416/1958/203068/3304/5603/2534/3569/9586/64764/5533/7419/3309/4851",86
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","8/3519","38/9436",0.210526315789474,0.564514440406216,-2.07432899357129,0.99013092614584,1,0.576368876080692,"5993/5788/57379/4261/973/7535/326/3575",8
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","82/3519","271/9436",0.302583025830258,0.811359315639192,-2.4298729989837,0.994222705634295,1,0.576368876080692,"9927/4725/7388/5567/2773/4720/22926/3799/5599/90550/7417/10105/5682/91252/107984365/4728/1813/3709/10376/7846/84790/4891/517/56901/55967/5687/1965/55334/3831/6263/4706/7326/7314/5709/2081/5718/201266/4729/2774/9817/5714/581/6233/3800/10213/4780/57181/5707/4705/598/2778/11047/539/135/468/3708/7318/4710/111/7345/170712/5602/6622/64116/817/6389/4724/1350/9627/7416/1843/1812/203068/4217/5071/816/2770/2861/7419/7295/3309/4128",82
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","2/3519","17/9436",0.117647058823529,0.315463951991709,-2.17845295992815,0.996042673294568,1,0.576368876080692,"10858/6718",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","9/3519","46/9436",0.195652173913043,0.524630267986211,-2.49234091121916,0.997190518868927,1,0.576368876080692,"2495/341208/124454/54658/3162/211/1371/644/3052",9
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","9/3519","46/9436",0.195652173913043,0.524630267986211,-2.49234091121916,0.997190518868927,1,0.576368876080692,"5682/3458/5687/5709/5718/5714/10213/5707/11047",9
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","16/3519","71/9436",0.225352112676056,0.604268978462992,-2.5811020793072,0.997444122243139,1,0.576368876080692,"5743/3290/9446/1571/4257/1544/1548/54658/2939/1577/100861540/1551/1576/64816/9/10",16
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","15/3519","73/9436",0.205479452054795,0.550981559985519,-2.96994150792669,0.999372094912122,1,0.576368876080692,"2328/9446/1571/4257/1544/218/1548/1555/316/54658/130/2939/1577/1576/4128",15
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","23/3519","102/9436",0.225490196078431,0.604639241317442,-3.09591871901199,0.999540233200171,1,0.576368876080692,"5724/2212/3075/3586/715/3875/3684/390792/3883/8688/3882/3880/718/3383/2357/820/5648/717/629/3117/3112/3108/1672",23
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","16/3519","81/9436",0.197530864197531,0.52966787001077,-3.27834807517979,0.999809858547317,1,0.576368876080692,"4802/5993/3458/4801/2923/4261/1385/3308/3135/3304/3117/3112/3108/1508/1514/3309",16
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","3/3519","30/9436",0.1,0.268144359192953,-3.0960884960686,0.999859196666916,1,0.576368876080692,"217/54658/7358",3
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","15/3519","79/9436",0.189873417721519,0.509134859227125,-3.37860346651823,0.999879498450913,1,0.576368876080692,"22977/3290/9446/1571/4257/1544/218/1548/1555/29785/54658/130/2939/1577/1576",15
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","31/3519","138/9436",0.22463768115942,0.602353270650835,-3.62887482664338,0.999941885525385,1,0.576368876080692,"4725/7388/4720/64077/107984365/4728/101927180/517/56901/55967/23545/527/4706/535/4729/90423/4705/539/523/4710/170712/6389/4724/1350/8992/534/124901481/50617/51606/245972/528",31
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","51/3519","235/9436",0.217021276595745,0.581930311440025,-5.00489415951842,0.999999933465635,1,0.576368876080692,"6429/10450/10465/101954269/26863/6063/101954266/6635/84991/8559/10285/51503/55110/25766/144983/101954275/101954278/6430/26827/9785/10594/1659/6426/124904122/1655/10189/9984/4670/10523/6432/23020/23451/6628/56259/24148/151903/23350/6434/124900887/124900883/11157/9879/10915/124901224/8449/3304/6428/51645/23658/57187/27316",51
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","55/3519","453/9436",0.121412803532009,0.325561584009104,-11.3451567823478,1,1,0.576368876080692,"5567/5997/5592/81285/119695/283111/282763/390058/390067/387748/120787/8590/341276/403257/219956/5138/341152/408/283159/390271/219858/57101/5153/79317/390442/390445/26687/79549/6547/123041/390648/4992/1258/3000/2774/125963/390883/126370/109/6546/1261/5136/150681/5593/817/442191/5137/816/135948/83988/56656/26248/26740/392391/392392",55
