"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","29/3519","70/9436",0.414285714285714,1.11088377379937,0.718074893587588,0.274130361951293,0.426561594605824,0.245856826862146,"8672/27/1604/5551/595/8082/4842/6645/6442/284217/1837/3383/940/6640/5880/859/1605/6444/3135/3117/3112/3108/2534/3908/60/137868/6641/25/1756",29
"Metabolism","Metabolism of other amino acids","hsa00450","Selenocompound metabolism","8/3519","17/9436",0.470588235294118,1.26185580796684,0.833324353917475,0.275991694476589,0.42754070528293,0.246421155782669,"1491/56267/4548/9060/4141/92935/10587/9061",8
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","14/3519","32/9436",0.4375,1.17313157146917,0.756527555054411,0.279960273322611,0.431760954857538,0.248853576286765,"2475/9776/60673/55102/8678/55062/57521/5289/84971/55054/10533/83734/9474/26100",14
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","47/3519","117/9436",0.401709401709402,1.07716110103152,0.647644217255521,0.288840720847777,0.443485531567163,0.255611257387414,"8289/3065/55929/317772/5977/51773/8089/57634/11177/8110/9112/54617/10933/10847/9274/29117/2186/8932/6597/54815/26122/29994/54891/6599/55193/93973/8607/86/65980/9555/8335/8334/3013/3012/8969/8329/8331/8330/8336/23506/57492/60/8295/6604/6595/5931/9643",47
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","5/3519","10/9436",0.5,1.34072179596476,0.831315732609422,0.300750435393634,0.456553583386635,0.263143275727167,"10380/9060/58472/9061/54928",5
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","186/3519","483/9436",0.385093167701863,1.03260560683,0.567298142455881,0.300955438754035,0.456553583386635,0.263143275727167,"23435/2475/9927/4725/7388/2882/1435/7482/4720/22926/356/5743/779/824/127602/5664/7483/89780/6262/3799/5599/22943/90550/7417/10105/355/10121/3265/283106/5682/627/55626/9776/107984365/5331/6712/4728/50507/2893/81029/775/7132/4040/3845/3709/7480/10376/7846/84790/60673/517/56901/29110/55967/488/6311/643246/4842/196385/5687/22863/1965/83544/55102/3831/1139/6263/1133/5330/5604/2903/4706/5579/489/7326/1856/7314/140775/5606/4843/5709/9001/8678/2535/7473/7484/2081/8313/5578/5718/55062/5608/64446/8632/4729/5289/596/4218/5714/581/6233/1639/1768/3553/3800/10010/10213/56171/8324/5707/4705/1457/5173/5621/23236/5332/598/84557/9217/11047/351/539/5594/1454/102800317/10126/468/3708/5894/1499/2876/7318/25981/776/7474/201625/55081/2932/4710/3064/7345/170712/5602/6622/5530/4790/27123/817/6389/1767/4724/55255/1350/9627/7416/1452/51164/2878/2890/8878/6310/203068/5603/1769/9896/4217/5071/26100/8701/3569/816/8326/8321/7472/51384/2861/5533/4747/7419/9821/27019/2776/3309/3028/27035/116442",186
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","31/3519","76/9436",0.407894736842105,1.09374672828704,0.63278298496302,0.301299050707606,0.456553583386635,0.263143275727167,"34/6258/10580/51703/3611/10062/9415/10873/4312/4973/51129/376497/33/2181/5360/5105/5468/1962/8310/2180/3157/28965/23305/2172/5467/4199/948/123/6256/2710/2182",31
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","13/3519","30/9436",0.433333333333333,1.16195888983613,0.685161154329177,0.305996630855935,0.45965727665372,0.264932147927216,"2271/5091/8803/3419/47/4190/5105/8801/6389/4967/4191/1738/48",13
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","13/3519","30/9436",0.433333333333333,1.16195888983613,0.685161154329177,0.305996630855935,0.45965727665372,0.264932147927216,"5320/26279/1573/5321/84647/1571/123745/283748/1544/8605/151056/8398/1576",13
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","67/3519","171/9436",0.391812865497076,1.05062409742268,0.515184084123398,0.329773789648308,0.491820681932456,0.283470133678649,"10277/1650/57134/10905/22926/824/64215/5599/7321/54788/258010/3703/10970/10808/1603/10484/30001/1965/2923/79748/267/7326/2081/55666/5034/596/23645/581/56886/23190/4780/80343/6238/10483/55741/111089941/80331/91445/468/9978/9695/201595/29927/6184/6747/7095/51726/7466/5602/7323/9871/10299/6500/64374/7322/81567/3304/11231/4121/4217/5071/51619/8454/3301/573/3309/51360",67
