"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","74/3680","116/9436",0.637931034482759,1.6357383808096,5.50850742103548,4.9302812094304e-08,1.46311684337077e-06,7.85595878284925e-07,"5293/998/149461/7412/10451/2773/5906/50848/4688/83593/3688/6387/29119/7414/1500/644672/83700/10411/4633/5829/9071/394/87/5579/3684/1003/9564/5336/1366/5175/5578/10627/103910/7409/3383/81/2909/9475/1496/7852/11069/10398/5335/4318/23562/7122/4689/5880/1499/387/5291/5010/5290/9076/10686/399/7294/100132463/5295/1495/3702/5603/49861/4301/60/5879/2770/93408/2185/5747/7410/100288814/4478/83692",74
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","76/3680","120/9436",0.633333333333333,1.62394927536232,5.49996133914716,5.12787595241206e-08,1.46311684337077e-06,7.85595878284925e-07,"7161/5293/998/6195/3725/6272/5906/4803/4914/356/9261/5664/10000/5599/3265/4908/397/3845/51135/11213/10818/10019/4792/6655/5663/801/207/399694/5604/5607/4916/5595/5336/7531/1398/596/4145/5605/581/4909/57498/6654/3667/5335/1399/5594/468/3656/5894/387/5580/2932/5291/5290/5602/817/2549/5295/814/815/5601/5603/4794/2309/4217/6196/5879/3551/8767/4915/53358/25/2889/6197/9500/27330",76
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","85/3680","138/9436",0.615942028985507,1.57935570258349,5.48181692364114,5.48141756882419e-08,1.46311684337077e-06,7.85595878284925e-07,"5293/998/6195/3725/5586/10451/2212/3586/10000/3688/5599/1793/391/23365/51135/9815/5829/8874/4792/2353/207/5604/4210/27040/5595/9564/1398/6416/5606/6347/147179/5605/7409/5585/9138/3661/9475/58484/10097/7535/3553/7456/2335/6714/5335/63916/4773/1399/5594/5880/10454/387/2932/5291/5290/3576/5602/2533/5295/64283/5601/5603/6885/23118/6196/60/5879/3569/8935/644150/9844/3984/10095/653857/2185/3551/5747/3456/8395/2776/81873/7410/6197/7454/27330",85
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","55/3680","80/9436",0.6875,1.76283967391304,5.47857520602478,6.15988058348547e-08,1.5267704017639e-06,8.19773581411224e-07,"5293/2475/3716/3570/10000/3265/3845/3479/6655/207/399694/5604/3480/5579/5595/5336/4763/2064/6774/5578/596/5605/558/581/6654/9470/598/6714/5335/5594/5155/5894/2932/5291/5290/5156/3791/1977/1950/2247/2549/56034/5295/9542/5159/7422/2309/3569/1956/4233/3084/1978/3717/6194/53358",55
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","66/3680","101/9436",0.653465346534653,1.67557038312527,5.45768664192047,6.66953412321456e-08,1.54288556050364e-06,8.28426343725598e-07,"5590/5293/998/3725/7412/7042/10000/5599/51196/3265/595/3845/2308/1282/1284/7043/207/4088/5579/5595/5336/6347/6777/6774/113026/1277/5578/4087/4089/596/3383/7040/581/5581/3553/1281/6772/2335/84812/1286/23236/5332/7056/5335/5594/7048/5580/5291/185/5290/3576/5602/5295/1958/1729/5601/1906/5603/5292/7422/5879/3569/1278/5054/3717/7046",66
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","94/3680","157/9436",0.598726114649682,1.53521185267239,5.40703810819663,7.92876206135109e-08,1.62497865461663e-06,8.72504844129057e-07,"5590/7161/353500/10207/23418/7042/7159/89780/56288/29119/9231/657/8945/6934/7003/595/1740/10413/5519/81029/7004/894/26524/84962/60485/122786/652/64398/7043/4088/999/7531/3996/2535/7473/7484/8313/3993/1453/4087/4092/4089/7040/27113/3398/10971/151449/1496/83439/2736/8324/659/8200/7529/655/4771/7533/102800317/7048/1499/8994/7474/2932/25937/5584/1739/5522/374/658/4086/324/1495/2246/5521/23286/23291/7005/653/1490/79981/60/8326/7532/8321/5054/51384/5520/5516/6591/392255/6788/7534/7046/1741",94
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","190/3680","362/9436",0.524861878453039,1.34581431659861,5.36453812016272,7.96099052694027e-08,1.62497865461663e-06,8.72504844129057e-07,"2782/5293/2475/1969/1441/1298/3716/55970/23566/5586/1435/4803/117145/3570/125467750/4914/356/63923/7143/3915/3918/3914/5525/2786/10000/3559/8516/3688/5979/118788/3265/3481/90993/595/2249/5519/894/4908/7450/3845/3164/1975/3679/4193/4254/3479/2322/2321/1282/1284/55012/6655/54331/5529/5228/5527/3320/207/7057/10681/5604/22801/3480/3566/5595/5934/7531/146850/23533/2064/3674/3690/2793/3675/1277/5578/3691/57521/284217/3909/23239/596/6794/5605/3643/11140/5585/898/94235/4909/10971/6654/3694/3655/1386/1385/2066/2335/3667/1286/9470/1293/598/7529/3911/1299/3454/1291/1292/5594/5008/7533/5155/468/5894/3680/2932/3693/256076/131873/5523/5291/5290/59345/5522/5156/3791/2069/374/2250/1977/1950/2247/56034/5618/2690/3672/3673/5295/2149/1946/2246/5521/1436/5159/2324/7148/7422/1297/2309/3910/3908/6446/7058/5879/3569/9586/1956/7532/9863/1021/1278/2783/5649/3912/4233/64764/285/5520/5516/1978/2260/3551/23678/3574/7534/284/5747/3717/6194/3456/3439/7010/4915/1902/3371/10319/7248/6256/8823",190
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","89/3680","149/9436",0.597315436241611,1.53159468923257,5.22962458910164,2.03406963878249e-07,3.92123424809735e-06,2.10544050330117e-06,"5293/2475/5737/23566/2207/26052/5321/375/10000/3265/22800/8525/9846/2915/3845/10411/1606/552/4254/160851/6655/207/123745/283748/399694/5604/115/5595/5336/146850/23533/8526/10672/5578/9267/5605/3643/1785/8605/9266/56848/6237/109/6654/5899/11069/8527/23236/5332/5335/2778/56894/5594/5155/5894/387/111/22808/5291/185/5337/5290/1608/1609/5156/3576/1950/2549/56034/5295/2149/5159/2534/56895/2768/9265/1607/5898/107/1956/9162/55326/2185/114/8395/53358/1902/1759/7248",89
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","72/3680","115/9436",0.626086956521739,1.60536862003781,5.2224229373986,2.24621132480753e-07,4.10229120899059e-06,2.20265598055918e-06,"5142/5567/2773/9826/6258/90993/408/4322/65125/4040/3709/5744/7421/6667/4666/8600/2353/5604/11214/4205/115/5579/5595/6559/65266/50964/342538/10672/5578/596/2767/5141/5143/3727/9138/109/4929/27347/1386/1385/23236/5332/10893/1591/2778/5594/468/3708/5894/5745/387/846/111/5337/10568/5144/4208/1958/860/8521/6446/2768/9586/107/1956/2770/64764/2260/114/2776/65268/6256",72
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","99/3680","170/9436",0.582352941176471,1.49322890025575,5.1887326885887,2.42632176405455e-07,4.20966826063464e-06,2.26031027493503e-06,"5590/998/149461/3725/10207/5567/5906/57530/50848/3688/56288/5599/595/2017/1740/154810/5519/644672/83700/8531/10376/7846/84790/4637/4633/9071/64398/87/7082/4734/84952/4629/55114/1366/4628/3996/2064/3993/10627/103910/23327/6794/23370/4218/81/79784/9475/5581/10097/10398/6714/7074/861/23562/150084/7122/4771/4627/387/776/3059/51421/5584/5010/9076/10686/1739/5522/5602/9693/100132463/51735/3308/5521/11346/5601/93643/4217/49861/4301/79778/60/5879/10095/1080/653857/51422/2626/5520/5516/8777/9414/54566/81873/100288814/7454/4478/1741/57826",99
