"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","55/3680","86/9436",0.63953488372093,1.63985085945399,4.76602862897266,2.28221631548041e-06,2.55460987571517e-05,1.37165462764018e-05,"88/6262/8516/783/3688/29119/6934/775/8082/3679/488/4842/6547/22801/10368/6645/489/3728/3674/3690/3675/27091/27092/786/3691/284217/1000/1829/1837/59285/6546/1496/83439/3694/3655/6640/859/3680/1499/9254/776/3693/3672/3673/1495/6444/1832/2697/3908/60/781/8910/137868/6641/1756",55
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","55/3680","87/9436",0.632183908045977,1.6210019990005,4.65269424534885,3.86291872046192e-06,4.09594210527914e-05,2.19924693655212e-05,"5293/2475/3725/1647/7042/10000/5599/6934/3265/595/3845/6655/2353/7043/207/5604/4088/5595/8313/4087/4089/1630/5366/596/5605/7040/27113/581/6654/4436/2956/83439/5899/5594/5880/5894/7048/1499/387/2932/5291/5290/2069/374/5602/1950/5295/51426/324/5601/5879/54205/5898/1956/7046",55
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","63/3680","103/9436",0.611650485436893,1.56835162515829,4.63723979929092,3.98652232491316e-06,4.09594210527914e-05,2.19924693655212e-05,"5293/3725/2773/919/356/3586/7042/10000/5599/355/5519/916/7132/51135/3458/4792/2353/7043/624/207/5595/2775/6416/4843/6347/6348/414062/2774/4087/2767/718/7040/3553/8837/23236/5332/2778/3460/5594/7048/54106/5291/3592/5290/5522/3576/5602/5295/5521/5601/5603/3459/3569/107/2770/5054/5520/5516/3551/3456/9630/2776/7046",63
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","61/3680","99/9436",0.616161616161616,1.57991875274484,4.63783762526935,4.01331503110924e-06,4.09594210527914e-05,2.19924693655212e-05,"5293/998/55616/65108/10451/2212/5321/5788/10000/1793/1072/3636/5058/9846/10810/1073/207/123745/283748/5604/5579/27040/5595/5336/1398/5578/7409/1785/8605/56848/8853/5581/10097/274/3635/5335/1399/5594/5880/8398/5894/5580/5291/5337/5290/4651/5295/4082/5879/85477/273/3984/10095/653857/4067/50807/8395/2934/81873/7410/7454",61
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","106/3680","193/9436",0.549222797927461,1.40827889164226,4.5820895657671,4.40272507651677e-06,4.36498743300377e-05,2.34370628133374e-05,"2782/5590/5293/998/2268/55970/5567/10451/2773/5906/2786/10000/56288/6387/2869/3265/408/5058/3845/5829/4792/6655/54331/207/399694/10681/5604/115/5579/5595/6367/9564/5336/1398/146850/23533/6347/6354/6355/6346/6360/6348/414062/6777/6774/2793/7409/6370/2931/94235/9475/109/6654/7852/6772/23236/5332/6714/5335/57580/7074/1399/5594/5880/5894/1233/10803/2829/729230/1234/387/5580/2932/111/5291/5290/59345/2868/3576/6372/5197/2919/5196/10563/56477/5295/3702/1794/2309/5879/9844/107/10344/2770/2783/2185/3551/4067/114/5747/3717/2776/53358/7410/7454/2833",106
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","60/3680","99/9436",0.606060606060606,1.55401844532279,4.43070271249155,1.01766034557295e-05,9.58374263273868e-05,5.14582874562338e-05,"5293/2475/3725/126969/5321/10000/5599/3265/8525/3845/6667/1606/10810/160851/6655/2353/207/123745/283748/5604/5579/5595/8526/5578/5605/8605/6654/8527/5335/5594/5880/5155/5894/5291/5337/5290/1608/5130/1609/5156/5602/1950/56034/5295/6583/5159/5601/6580/6581/5879/1607/1956/9162/1978/10434/8395/23446/7248/9468/7454",60
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","77/3680","134/9436",0.574626865671642,1.47341823491239,4.41309912445724,1.02189762942747e-05,9.58374263273868e-05,5.14582874562338e-05,"4879/5320/26279/1907/5567/9826/5321/4660/5592/84647/3778/10335/797/2977/23365/775/3709/4637/552/4659/5583/801/123745/283748/5604/115/4629/5579/5595/91807/4628/136/10672/5578/2767/5605/9138/5739/8605/79784/54776/9475/109/5581/72/10203/23236/5332/85366/10398/2778/1908/5594/135/4627/8398/3708/5894/387/5580/776/111/4638/185/10242/27094/1909/2982/147/1906/2768/10268/107/800/157855/114/2776",77
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","63/3680","106/9436",0.594339622641509,1.5239643150123,4.33758791004395,1.5008297343184e-05,0.000137049452054864,7.35863886355557e-05,"5293/2475/1870/10000/6935/5328/6934/3265/90993/595/2352/2348/2915/4314/3845/4193/3479/2308/4792/6655/3320/207/5604/3480/1387/5595/113235/2064/596/5605/898/6716/6654/83439/1385/1869/4318/2078/7113/6573/5594/5155/468/5894/1499/2932/5291/5290/2119/5156/1950/56034/5295/5159/1871/9586/1956/64764/4824/2260/5327/3551/367",63
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","59/3680","98/9436",0.602040816326531,1.54371118012422,4.32602311178308,1.60741070623934e-05,0.000143018337196167,7.6791280702932e-05,"5293/3633/5298/3707/5305/51196/22876/3632/5286/8525/3636/8898/5288/3709/1606/160851/801/3705/5579/10423/5336/8396/113026/8526/9110/5578/3613/5289/3631/200576/84812/3635/8527/8760/23236/5332/5335/8867/8897/3708/64419/9807/5291/5290/1608/1609/1040/8821/5295/117283/8871/1607/9162/54928/3612/55529/8395/56623/4952",59
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","167/3680","333/9436",0.501501501501502,1.28591526308918,4.24718965367083,1.71256352030024e-05,0.000148564885386046,7.97694060771426e-05,"57801/5590/390992/54626/5293/2475/23352/998/3065/26508/1298/10207/3716/5567/4853/356/63923/7143/3915/3918/5743/3914/5525/89780/10000/8516/3688/56288/355/6934/3265/90993/10312/595/1740/472/5519/81029/894/7450/7132/3845/3679/4193/5829/8900/2308/1282/1284/55012/6655/5529/64398/5663/5700/5527/7187/207/7337/7057/5604/22801/5315/1387/5595/5934/3996/535/3674/2535/7473/7484/3690/3675/1277/8313/3993/3691/284217/3909/5605/4854/898/581/3661/5610/6654/83439/3694/3655/6772/8324/1385/2335/1286/1293/1869/5933/2778/3911/1299/3454/1291/1292/5594/5894/3680/1499/7474/523/2932/3693/256076/131873/5523/5291/545/5584/5290/3280/1739/5522/3516/1950/3672/3673/5295/324/3659/5521/1452/5159/8992/3135/7148/7422/1297/3910/3908/7058/9586/1956/8326/8321/1021/1278/5649/3912/51384/64764/50617/5520/5516/1978/3551/51606/528/5747/3456/3439/4799/9550/3371/10319/7248/4851/1741",167
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","59/3680","99/9436",0.595959595959596,1.52811813790075,4.22356779971375,2.47729248822225e-05,0.00020966353497881,0.000112575294073258,"5293/2475/1870/1031/3725/5567/4853/10000/5599/3265/595/3845/6667/4193/3479/6655/2100/2353/207/399694/5604/3480/115/5595/9611/5469/2064/596/5605/10498/4854/581/109/6654/8647/1869/6714/4318/8202/2778/5594/638/5894/111/5291/5290/5602/5295/5601/1871/5603/2099/2852/107/1956/114/5747/53358/4851",59
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","48/3680","77/9436",0.623376623376623,1.59841897233202,4.21570741707216,2.71898801523762e-05,0.000215139120749397,0.000115515317374923,"5293/2475/998/1870/3716/1647/7042/10000/5599/595/3845/675/7043/207/5604/4088/5595/2064/6774/4087/4089/7040/581/5899/6772/598/1869/5594/5880/5894/7048/5291/5337/5290/5602/1950/5295/51426/5601/1871/7422/5879/5898/1956/1021/3551/7046/9459",48
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","70/3680","122/9436",0.573770491803279,1.47122238061297,4.18863171258055,2.727988851001e-05,0.000215139120749397,0.000115515317374923,"5293/2475/6548/3065/5567/4853/480/6258/5208/10000/5214/51196/3265/595/3845/4193/488/23389/2308/9882/652/1734/207/5604/1387/5579/5595/5336/489/9611/5469/9862/7067/113026/3690/9969/5578/5605/4854/8648/6772/84812/23236/5332/6714/5335/8202/1827/5594/5894/8850/7068/1499/2932/5291/116931/5290/5295/10231/117247/2099/60/2626/10499/90390/9442/6256/4851/9968/6567",70
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","70/3680","122/9436",0.573770491803279,1.47122238061297,4.18863171258055,2.727988851001e-05,0.000215139120749397,0.000115515317374923,"5293/2475/5567/2773/10000/5599/3265/90993/775/3845/3709/3479/8660/6655/2353/207/399694/5604/1387/115/5579/5595/9564/5336/1398/6416/5606/6777/6774/5578/6752/2767/5605/109/6654/1386/6772/1385/3667/23236/5332/5335/2778/1399/5594/468/3708/5894/776/5449/2932/111/5291/5290/6750/5602/2690/5295/5601/5603/112609/9586/107/2770/64764/114/5747/3717/2776/53358",70
"Organismal Systems","Nervous system","hsa04730","Long-term depression","39/3680","60/9436",0.65,1.6666847826087,4.14211199350699,3.91528535674903e-05,0.000301912004175981,0.000162106551612767,"2773/5321/5592/3265/2977/5519/3845/3709/3479/4842/123745/283748/5604/3480/5579/5595/2775/10672/5578/2767/5605/773/8605/23236/5332/2778/5594/2781/3708/5894/2895/2982/2891/2890/2768/2770/5516/4067/2776",39
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","61/3680","105/9436",0.580952380952381,1.48963768115942,4.03403680564082,5.32279912671355e-05,0.000401524194993392,0.00021559163510945,"63036/23436/10136/1307/1296/1298/255631/1301/480/1305/1308/3784/6520/10008/5547/120103/1361/1282/1284/23428/6547/1277/3783/6510/6546/1803/1281/1290/1286/1293/1299/57642/80781/1291/1292/256076/131873/4311/84570/206358/91522/1302/8645/4224/81578/1310/1297/1303/117247/340267/1278/1358/1357/5644/7373/169044/6505/5646/1306/85301/1289",61
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","117/3680","226/9436",0.517699115044248,1.32744805694498,3.98383452614099,5.50569161921239e-05,0.000406484040822702,0.000218254740560043,"2782/5293/2475/1870/3716/55970/5567/2773/3570/9826/356/5743/7188/2786/10000/6387/355/3265/90993/595/3587/23365/7132/3845/3709/6667/4193/5829/4792/6655/54331/5732/801/207/2923/10681/5604/11214/115/5579/5595/2775/9564/1398/6347/6348/414062/6774/3690/2793/10672/5578/2767/5605/9138/94235/581/3661/9475/109/6654/5534/3554/3553/7852/1386/1385/23236/5332/1869/6714/4773/2778/637/1399/5594/5880/468/3708/5894/1499/1234/387/2932/111/5291/5290/59345/5156/3576/5530/5295/8737/1871/3135/5603/7422/2768/5879/3569/54205/9586/107/1956/2770/1021/2783/64764/2185/1978/3551/114/5747/3456/3439/2776/7248",117
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","69/3680","122/9436",0.565573770491803,1.45020491803279,4.0018103435131,5.84957850170025e-05,0.000422875779185414,0.000227056007631786,"5293/998/3725/10451/919/5788/3586/5525/10000/1326/5599/3265/5058/5519/916/3845/3458/55012/4792/6655/5529/2353/5527/207/10125/56924/5604/27040/5595/9020/5605/7409/6654/5534/7535/8440/940/1493/5335/4773/5594/9402/5894/387/868/2932/5523/5291/5290/5062/1739/5522/7006/5602/5530/5295/1437/3567/5521/3702/5601/5603/4794/6885/2534/5520/5516/3551/7410",69
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","45/3680","73/9436",0.616438356164384,1.58062835020846,3.98186585073066,7.14820330007964e-05,0.00050620949900564,0.00027180064105566,"5293/1870/1647/6258/83593/10000/3799/5979/3265/595/3845/6655/207/5604/5579/5595/5336/2064/6777/6774/5578/5605/581/238/6654/27436/3800/1869/5335/6789/5594/5894/5915/2272/5291/5290/1950/5295/51426/1871/2309/1956/1021/4233/6256",45
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","63/3680","110/9436",0.572727272727273,1.46854743083004,3.95217955190731,7.29596228523767e-05,0.000506339782595494,0.000271870594628856,"2023/5293/2475/8569/405/3570/54583/10000/5214/5209/8453/3098/3939/3948/160287/3945/3458/3479/2321/112399/207/5604/3480/1387/5579/5595/5336/4843/2064/6774/5578/596/5605/3643/2034/3099/9470/5335/3460/5594/9978/7018/5291/5290/7037/1977/1950/817/5295/815/1906/7422/3459/3569/1956/5054/285/1978/284/6194/7010/7076/5230",63
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","38/3680","60/9436",0.633333333333333,1.62394927536232,3.876596322936,0.000113185661418424,0.000770106362984176,0.000413495605181857,"5293/998/9047/5743/5321/9261/10000/3265/3845/5829/207/123745/283748/5604/5579/5595/5336/5578/5605/8605/56848/5534/6714/5335/4773/5594/5880/5894/7867/5291/5290/3791/5530/5295/5603/7422/5879/5747",38
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","128/3680","254/9436",0.503937007874016,1.29216021910305,3.77401623957079,0.000122600945081842,0.000818125537373058,0.000439278689868137,"5724/5737/5567/255231/4803/4914/777/493/57172/3707/6262/57118/5979/6865/90550/10105/51196/6786/887/2249/2915/6588/775/3709/552/490/488/53373/4842/5027/5025/84876/2321/57105/6547/801/624/623/1139/6263/1133/4916/8912/115/2903/5579/91807/5257/5336/489/136/4843/2064/113026/5578/2774/2767/773/56848/109/6546/3973/5534/7852/5136/2066/84812/23236/5332/85366/5335/4773/2778/135/5155/8911/3708/5021/8536/491/3269/7134/776/4638/185/952/57620/5156/3791/2250/5530/1950/817/401152/2247/1909/56034/2149/814/7416/2246/3360/154/5159/815/147/1812/3274/2324/7422/5137/107/1956/5260/4233/3361/2185/2260/7419/444/7201/114/9630/2776/4915/2902/8823/492",128
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","77/3680","142/9436",0.542253521126761,1.39040875688916,3.74797648490689,0.00015164680818623,0.000992857404540035,0.000533098014875129,"10277/26232/148581/64326/8453/7321/9886/26091/119504/8945/27339/84447/25906/8065/4193/7334/89910/26259/51433/8881/7337/8924/4734/8925/8554/92912/23295/6477/11060/7314/996/4591/64750/23327/51343/51588/9817/10054/10055/27338/57448/10477/8452/140739/23759/9978/7324/9039/868/25847/29945/55236/25898/8916/7323/10393/55294/6502/26272/6500/7322/23291/51465/5071/51619/57154/7328/8454/9690/55284/11059/51366/4281/10075/90293/8450/331",77
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","88/3680","166/9436",0.530120481927711,1.35929806181247,3.73425112381811,0.000154652697644309,0.000993786779306946,0.000533597026959895,"4879/2773/480/134/493/10000/5592/3778/10105/150/10335/90993/5138/7225/2977/775/5139/3764/3709/4659/490/488/8660/6547/801/624/207/5604/4205/115/5595/91807/1258/489/146850/23533/10672/2767/5605/3643/4207/9475/109/6546/5581/5534/1386/1385/3667/23236/5332/85366/10398/4773/5594/468/3708/491/5894/387/776/111/4638/185/10242/27094/152/5530/8654/1909/2982/4208/7416/154/147/6722/2768/9586/107/2969/2770/64764/2626/157855/7419/114/2776/492",88
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","46/3680","77/9436",0.597402597402597,1.53181818181818,3.74652201431347,0.000174928485952683,0.00110363972046511,0.000592580708394736,"5293/1870/3065/1647/7042/10000/1488/3265/595/9846/3845/4193/4792/6655/7043/207/399694/5604/4088/5595/1398/6777/4089/5605/7040/581/6654/598/1869/861/1399/5594/613/5894/7048/5291/2122/5290/5295/51426/1871/1021/3551/53358/7046/25",46
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","42/3680","69/9436",0.608695652173913,1.56077504725898,3.73807004324876,0.000185326476370453,0.00114836227322406,0.000616593727773877,"5293/10451/2207/5321/10000/5599/3265/9846/3845/241/6655/207/123745/283748/5604/27040/5595/5336/6416/5606/5578/5605/7409/8605/6654/3635/5335/5594/5880/5894/5291/5290/5602/5295/1437/3567/5601/5603/2534/5879/4067/7410",42
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","72/3680","132/9436",0.545454545454545,1.39861660079051,3.68758436609715,0.000193061124373385,0.00117530193258885,0.000631058522882531,"2782/55970/5567/2773/5525/2786/10000/3799/5599/406/90993/408/2893/5519/1813/775/3709/55012/54331/5529/2353/801/5527/207/10681/2903/5579/2775/2793/5578/2774/773/2931/94235/3800/6323/1386/1385/23236/5332/2778/3763/1312/468/3708/776/1814/2932/111/5523/59345/5522/9575/5602/5530/817/2891/5521/815/2890/1812/5601/5603/9586/1644/2770/2783/64764/5520/5516/2776/4128",72
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","103/3680","201/9436",0.512437810945274,1.31395738697815,3.59736705996883,0.000247818971573288,0.00146568770667515,0.000786976259916582,"7709/5081/3065/1031/1647/4914/5087/6258/2005/648/6935/221037/5328/3087/7490/4005/4221/4314/472/7704/4297/2313/894/2120/440093/466/6667/8091/4193/1848/3479/2322/2321/8900/2308/1053/6495/2530/64919/597/9915/3480/26471/3684/9611/8148/5914/3728/2118/1655/84444/4298/1050/581/3398/4211/905/5077/598/4318/958/861/2078/7113/2130/5468/7048/4286/64332/2119/604/7468/8842/51274/3576/55589/4299/4086/51426/4208/1437/1436/8350/8351/8353/8357/8354/8464/860/2115/3569/5218/4233/51384/5327/2138/862/5747/4300/5079/8013/5090/6256",103
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","59/3680","105/9436",0.561904761904762,1.44079710144928,3.63164805219966,0.000249209148973584,0.00146568770667515,0.000786976259916582,"5567/7170/7139/7042/6262/8516/783/3688/775/8082/3679/3479/488/4633/4842/6547/7043/7168/22801/115/10368/6645/489/3674/3690/3675/27091/27092/786/3691/284217/1837/7040/59285/109/6546/3694/3655/6640/2778/859/3680/9254/7134/776/111/3693/3672/3673/6444/3908/60/107/781/8910/137868/6641/114/1756",59
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","58/3680","103/9436",0.563106796116505,1.44387927395526,3.62165698865096,0.000259553463240809,0.00150108419574268,0.000805981806905671,"5293/731/732/5567/3915/3918/3586/3914/7042/7414/3458/1282/1284/384/87/7043/5579/3684/4843/1277/5578/284217/2774/3909/6318/6317/5273/2767/81/7040/3554/3553/1281/2335/1286/23236/5332/2778/3911/7879/5291/3592/5290/3576/2919/5295/1437/3910/3908/383/3569/107/1278/3912/5747/9630/2776/10319",58
"Human Diseases","Cancer: specific types","hsa05214","Glioma","45/3680","76/9436",0.592105263157895,1.51823512585812,3.6268549475632,0.00027291645511711,0.00155249196599405,0.000833584340909894,"5293/2475/1870/1647/57172/10000/57118/3265/595/3845/4193/3479/6655/801/207/399694/5604/3480/5579/5595/5336/5578/5605/581/6654/1869/5335/5594/5155/8536/5894/5291/5290/5156/1950/817/5295/51426/814/5159/815/1871/1956/1021/53358",45
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","64/3680","116/9436",0.551724137931034,1.41469265367316,3.59320379131189,0.000280501987115444,0.00156990628272676,0.000842934664166953,"2782/5293/55970/5567/2773/1141/2786/10000/1103/3265/3784/90993/775/3845/3709/54331/2353/207/1139/1133/10681/5604/1143/115/5579/5595/2775/146850/23533/3768/2793/5578/596/2767/773/94235/109/1385/23236/5332/3763/5594/468/3708/776/111/5291/5290/59345/817/5295/814/815/56479/2534/9586/107/2770/2783/64764/114/3786/3717/2776",64
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","42/3680","70/9436",0.6,1.53847826086957,3.61555179244977,0.00028990355744336,0.00159677038782295,0.000857358891687129,"5293/998/3725/5906/405/7042/54583/2271/10000/8453/3265/5058/2113/3845/112399/6655/7043/207/56924/5604/9915/1387/5595/1398/5605/7040/6654/2034/1399/5594/5155/9978/5894/5291/5290/5062/2549/5295/7422/5879/4233/2889",42
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","83/3680","158/9436",0.525316455696203,1.34697991194276,3.51673918711916,0.00034691561686858,0.00188093311020933,0.00100993526621281,"10459/7709/1870/3065/1031/1647/8317/8556/5525/7042/119504/23063/7465/113130/595/25906/472/5519/894/4193/51433/23047/8900/8881/5529/7043/5527/57082/4088/9088/1387/5347/5934/7531/990/996/10403/114799/4087/4089/51343/1032/23383/898/7040/10971/699/4999/1869/5933/7529/8318/7533/4174/9978/2932/25847/10274/545/29945/23244/10393/6502/25836/1022/902/6500/995/1871/4172/7272/8379/7532/1021/8454/5516/5591/7534/27085/8555/25/55869/546",83
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","100/3680","196/9436",0.510204081632653,1.3082298136646,3.48659226837716,0.000371211065820814,0.00198169599753573,0.00106403819676573,"2782/5293/2475/1870/3725/3716/55970/5743/9261/2786/441925/440738/10000/5599/355/6934/3265/595/7132/3845/3709/643246/4792/54331/22863/2353/801/7187/207/10681/5604/1387/5595/5336/146850/23533/6416/7314/6774/8678/2793/5289/5605/718/3383/7538/94235/581/3661/5610/5534/83439/6772/1385/1869/84557/6714/5335/57580/4773/3454/1827/637/5594/5155/3708/5894/1233/1499/1234/2932/5291/5290/59345/3576/2919/5602/5530/2247/3572/5295/1437/5601/1871/3135/4277/5603/7422/3459/5879/3569/54205/1021/2783/285/3551/4067/3717/3456/3439",100
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","113/3680","226/9436",0.5,1.2820652173913,3.43169283748646,0.000439858572349636,0.00231258976674733,0.00124170601763773,"5293/6548/1907/3725/5142/5567/10451/2773/5906/480/134/493/3776/6262/10000/5599/51196/22800/90993/170589/5058/2893/1813/775/5139/10411/4659/490/488/84876/10257/4792/5732/2353/801/207/5604/10021/1387/115/2903/5595/1258/489/6662/6752/5605/7409/5141/5143/2696/6237/9475/109/3973/1261/11069/1385/10398/2778/1908/7074/5594/135/5880/5021/491/5894/387/776/111/5291/5337/5290/6750/8310/5602/817/1909/2891/5144/5295/2149/814/64411/3360/154/815/2890/1812/5601/1906/1081/64208/7432/4301/5879/4852/9586/1395/117/2737/107/2770/1080/64764/54714/114/5727/9568/7410/2902/492",113
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","51/3680","90/9436",0.566666666666667,1.45300724637681,3.45261365990602,0.000488248644528348,0.00252869074106473,0.00135773778604112,"5293/2475/83667/5567/51094/10000/23411/3265/90993/9776/79602/3845/60673/3479/10645/2308/8660/207/3480/115/57521/6794/3643/581/109/1386/1385/3667/9470/468/5468/111/5291/5290/10891/1977/5295/814/9474/2309/27244/6648/9586/107/64764/51422/1978/9821/114/7248/79813",51
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","71/3680","133/9436",0.533834586466165,1.36882151029748,3.42503505537185,0.0004955410121374,0.00252871663546585,0.00135775168960247,"5293/1647/356/3586/7042/10000/5599/23411/664/3265/5896/595/472/894/23710/3845/4193/3479/2308/8660/6655/7043/207/5604/4088/9455/3480/1387/7874/5347/5595/5934/6774/4089/6794/5605/3643/1032/10365/7040/3276/6654/3667/6789/5594/102800317/5894/7048/5291/8743/5290/604/5602/1950/80854/6502/5295/9456/5601/5603/2309/6446/6648/3569/1956/51422/26260/3551/23678/114907/7046",71
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","81/3680","155/9436",0.52258064516129,1.3399649368864,3.41222027394631,0.00050318015378778,0.00253048570093275,0.00135870155942696,"1870/1031/5567/2773/5906/405/5087/5929/3776/89780/2271/6934/90993/4221/9049/595/4297/81029/775/3709/3164/6667/84876/949/5604/1583/5151/8912/115/5595/79798/23746/2535/7473/7484/8313/2767/5605/898/109/3777/83439/1386/50940/8324/1385/23236/5332/1869/2778/5594/468/8911/3708/1499/776/7474/2932/111/185/57552/817/8622/324/815/1871/196/9586/1395/107/1956/8326/2770/8321/1021/51384/64764/6770/114/2776/2516",81
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","55/3680","99/9436",0.555555555555556,1.42451690821256,3.39502814860257,0.000583759611133797,0.00285302232483701,0.00153188215227105,"5293/1573/5567/4803/4914/5321/5599/3709/3479/59341/5732/5583/801/624/623/123745/283748/115/5579/5336/162514/7442/5606/40/5578/8605/109/5581/3554/3553/79054/23236/5332/6714/5335/2778/8398/3708/3269/5580/111/5291/5290/3556/5602/817/5295/2150/815/5601/5603/107/8989/114/2776",55
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","55/3680","99/9436",0.555555555555556,1.42451690821256,3.39502814860257,0.000583759611133797,0.00285302232483701,0.00153188215227105,"7170/7139/7042/6262/8516/783/3688/775/8082/3679/3479/488/4633/4842/6547/7043/7168/22801/10368/6645/489/3674/3690/3675/27091/27092/786/3691/284217/1837/7040/59285/6546/3694/3655/6640/859/3680/9254/7134/776/3693/3672/3673/6444/1906/3908/60/3569/781/8910/51422/137868/6641/1756",55
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","64/3680","119/9436",0.53781512605042,1.37902813299233,3.32691226533893,0.00070924012064312,0.00337242259252587,0.00181076535379063,"5293/3725/7412/1435/5743/7188/10000/1326/5599/355/90993/8986/4314/7132/11035/4792/2353/7187/207/5604/5595/64127/1540/197259/6416/5606/6347/9020/79651/3383/3553/1386/8837/843/1385/4318/5594/10454/468/5291/5290/6372/2919/5602/3600/5295/1437/3659/5601/8737/1906/5603/6885/4217/7128/23118/3569/9586/64764/9530/3551/3456/153090/331",64
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","84/3680","163/9436",0.515337423312883,1.32139237129901,3.30943385401194,0.000709472188052993,0.00337242259252587,0.00181076535379063,"5293/3339/1870/3725/3716/356/7042/10000/5599/1959/355/3265/90993/3845/51135/6778/8900/4792/6655/2353/7043/7187/207/5604/4088/1387/5579/5595/6416/5606/6777/6774/5578/4089/596/5605/898/7040/581/3661/10971/6654/64135/1386/6772/6775/843/1385/1869/6714/7529/4318/4773/3454/637/5594/10454/468/5894/7048/5291/5290/3576/5602/5295/5601/1871/5603/6885/23118/3569/54205/9586/64764/2185/3551/7419/7534/3717/3456/3439/23586/7046/1654",84
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","27/3680","42/9436",0.642857142857143,1.64836956521739,3.36710342789367,0.000783888040271391,0.00367579932397531,0.00197365836597491,"440738/8031/51703/2495/6520/4891/5094/643246/2879/30061/2181/5621/84557/2937/10533/7018/7037/64116/23657/2180/23305/2729/9474/23516/7419/6303/2182",27
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","81/3680","157/9436",0.515923566878981,1.322895319856,3.26208638822579,0.000837558552362781,0.00387510423559847,0.00208067177218544,"54896/55113/405/5087/5743/9261/3586/23411/3988/1847/1793/63982/1374/5031/24145/80824/196527/121601/55576/488/51761/23250/5732/161291/384/7057/23339/84465/5604/5595/9564/1398/489/3690/5175/5605/558/7040/56848/1788/9392/10461/51454/1385/50636/10326/343702/4773/1399/5594/8398/5468/1849/23166/961/3693/7879/23200/23355/817/84466/815/84868/5467/5603/383/6446/5879/9844/27072/948/1846/8754/114786/5747/575/3717/19/51552/6256/286410",81
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","80/3680","155/9436",0.516129032258065,1.3234221598878,3.24618080064366,0.00088519570689441,0.00404161724068895,0.00217007811800984,"3725/5567/2773/5743/5321/4660/57172/6262/57118/783/3265/595/2977/775/3845/3709/4637/4659/10645/2353/801/6263/123745/283748/5604/5607/115/5579/10368/5595/91807/2775/146850/23533/3768/5578/27091/27092/786/5605/8605/59285/54776/9475/109/5534/23236/5332/85366/10398/6714/4773/2778/1827/3763/5594/3708/5021/8536/5894/387/9254/776/111/4638/952/5530/817/2982/4208/814/815/60/107/1956/2770/781/51422/114/2776",80
